EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,EventLocationName
20170901.1102001,2017-09-01T11:02:33.000Z,48.4646,-123.4848,23.37,ML,0.400001,"9 km WNW of Victoria, BC/9 km ONO de Victoria, BC"
20170901.1048002,2017-09-01T10:48:40.000Z,48.4593,-123.4783,22.99,ML,1.1,"8 km WNW of Victoria, BC/8 km ONO de Victoria, BC"
20170801.0023001,2017-08-01T00:23:24.000Z,48.4487,-123.4795,13.45,ML,0.300001,"8 km W   of Victoria, BC/8 km O   de Victoria, BC"
20170704.1810002,2017-07-04T18:10:04.000Z,48.3814,-123.3365,15.47,ML,1.4,"6 km SSE of Victoria, BC/6 km SSE de Victoria, BC"
20170531.2247001,2017-05-31T22:47:11.000Z,48.476,-123.4316,22.11,ML,1.4,"6 km WNW of Victoria, BC/6 km ONO de Victoria, BC"
20170212.0246001,2017-02-12T02:46:47.000Z,48.4869,-123.3716,20.04,ML,0.400001,"6 km N   of Victoria, BC/6 km N   de Victoria, BC"
20161209.1827001,2016-12-09T18:27:23.000Z,48.406,-123.4927,0.32,ML,0.700001,"9 km WSW of Victoria, BC/9 km OSO de Victoria, BC"
20161108.1815001,2016-11-08T18:15:47.000Z,48.3961,-123.4632,9.42,ML,0.800001,"8 km WSW of Victoria, BC/8 km OSO de Victoria, BC"
20161106.1404001,2016-11-06T14:04:56.000Z,48.4132,-123.4815,4.09,ML,1.1,"8 km W   of Victoria, BC/8 km O   de Victoria, BC"
20160809.0208001,2016-08-09T02:08:50.000Z,48.4953,-123.4024,21.44,ML,0.900001,"7 km NNW of Victoria, BC/7 km NNO de Victoria, BC"
20160714.0201001,2016-07-14T02:01:11.000Z,48.3492,-123.4066,35.47,ML,0.700001,"9 km SSW of Victoria, BC/9 km SSO de Victoria, BC"
20160608.0702005,2016-06-08T07:02:14.000Z,48.4781,-123.4715,1.99,ML,1.3,"9 km WNW of Victoria, BC/9 km ONO de Victoria, BC"
20160426.0029001,2016-04-26T00:29:09.000Z,48.4625,-123.2894,21.72,ML,0.400001,"6 km ENE of Victoria, BC/6 km ENE de Victoria, BC"
20160426.0001001,2016-04-26T00:01:25.000Z,48.4679,-123.2746,21.76,ML,0.900001,"7 km ENE of Victoria, BC/7 km ENE de Victoria, BC"
20160207.0936001,2016-02-07T09:36:09.000Z,48.4705,-123.2617,21.58,ML,0.200001,"8 km ENE of Victoria, BC/8 km ENE de Victoria, BC"
20151125.1014001,2015-11-25T10:14:52.000Z,48.4557,-123.2931,19.26,ML,0.700001,"6 km ENE of Victoria, BC/6 km ENE de Victoria, BC"
20151109.0835001,2015-11-09T08:35:19.000Z,48.4007,-123.4641,8.71,ML,0.900001,"8 km WSW of Victoria, BC/8 km OSO de Victoria, BC"
20151025.0112001,2015-10-25T01:12:57.000Z,48.3922,-123.2584,11.56,ML,0.700001,"9 km ESE of Victoria, BC/9 km ESE de Victoria, BC"
20151018.0711001,2015-10-18T07:11:23.000Z,48.4159,-123.4801,0,ML,0.200001,"8 km W   of Victoria, BC/8 km O   de Victoria, BC"
20151009.0029001,2015-10-09T00:29:10.000Z,48.399,-123.461,9.35,ML,0.600001,"7 km WSW of Victoria, BC/7 km OSO de Victoria, BC"
20151007.1919001,2015-10-07T19:19:40.000Z,48.4059,-123.4886,2.89,ML,0.800001,"9 km WSW of Victoria, BC/9 km OSO de Victoria, BC"
20150827.0310002,2015-08-27T03:10:05.000Z,48.4723,-123.4237,20,ML,0.700001,"6 km NW  of Victoria, BC/6 km NO  de Victoria, BC"
20150702.2024002,2015-07-02T20:24:18.000Z,48.464,-123.4781,15.53,ML,1.1,"8 km WNW of Victoria, BC/8 km ONO de Victoria, BC"
20150618.1455001,2015-06-18T14:55:25.000Z,48.4571,-123.2954,21.7,ML,0.400001,"5 km ENE of Victoria, BC/5 km ENE de Victoria, BC"
20150524.1851001,2015-05-24T18:51:30.000Z,48.4696,-123.4402,27.04,ML,0.800001,"6 km WNW of Victoria, BC/6 km ONO de Victoria, BC"
20150518.0743001,2015-05-18T07:43:54.000Z,48.4394,-123.3915,17.18,ML,0.400001,"1 km WNW of Victoria, BC/1 km ONO de Victoria, BC"
20150430.2006001,2015-04-30T20:06:28.000Z,48.4614,-123.4876,14.44,ML,1.2,"9 km WNW of Victoria, BC/9 km ONO de Victoria, BC"
20150423.0029001,2015-04-23T00:29:35.000Z,48.4583,-123.2951,21.97,ML,0.500001,"6 km ENE of Victoria, BC/6 km ENE de Victoria, BC"
20150303.0814002,2015-03-03T08:14:49.000Z,48.4647,-123.2746,22.07,ML,0.800001,"7 km ENE of Victoria, BC/7 km ENE de Victoria, BC"
20150227.2212001,2015-02-27T22:12:55.000Z,48.4616,-123.474,16.27,ML,0.800001,"8 km WNW of Victoria, BC/8 km ONO de Victoria, BC"
